Animal ID,Animal Name,Animal Type,Sex,Years Old,Months Old,Primary Breed,Primary Color,Tag Number,Intake Date,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Outcome Date,Intake Day of the Week,Outcome Day of the Week
A062507,MR. SPRINKLES,Other,Male,,6,HAMSTER,RED,,10/12/2021,Owner Surrendered,Over the Counter,Adoption,Walk-In,11/06/2021,Tuesday,Saturday
A062508,MOSCOTO,Dog,Spayed Female,1,,PIT BULL,BROWN,981020045098461,10/06/2021,Owner Surrendered,Animal Control,Foster,M/L DOG,10/27/2021,Wednesday,Wednesday
A062508,MOSCOTO,Dog,Spayed Female,1,,PIT BULL,BROWN,981020045098461,10/28/2021,Foster,Over the Counter,Adoption,Walk-In,11/13/2021,Thursday,Saturday
A062509,BLUEBIRD,Dog,Neutered Male,,8,PIT BULL,WHITE,981020045224380,10/06/2021,Owner Surrendered,Animal Control,Foster,Adoption,10/16/2021,Wednesday,Saturday
A062509,BLUEBIRD,Dog,Neutered Male,,8,PIT BULL,WHITE,981020045224380,10/19/2021,Foster,Over the Counter,Adoption,Walk-In,10/19/2021,Tuesday,Tuesday
A062512,,Cat,Male,2,,DOMESTIC SH,BUFF,,10/07/2021,Stray,Animal Control,Euthanized,Vet Clinic,10/07/2021,Thursday,Thursday
A062513,LILY,Cat,Spayed Female,,1,DOMESTIC SH,GRAY,,10/07/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/08/2021,Thursday,Friday
A062513,LILY,Cat,Spayed Female,,1,DOMESTIC SH,GRAY,985113006096338,01/04/2022,Foster,Over the Counter,Adoption,Walk-In,01/06/2022,Tuesday,Thursday
A062515,SOPHIE,Dog,Female,15,,SHIH TZU,BLACK,,10/08/2021,Stray,Over the Counter,Return to Owner,Walk-In,10/08/2021,Friday,Friday
A062520,CRANBERRY,Cat,Spayed Female,1,,DOMESTIC SH,BLACK,981020045536206,10/08/2021,Stray,Over the Counter,Adoption,Walk-In,01/09/2022,Friday,Sunday
A062521,SPICE GIRL,Cat,Spayed Female,,0.9,DOMESTIC SH,BLACK,,10/08/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/11/2021,Friday,Monday
A062521,SPICE GIRL,Cat,Spayed Female,,0.9,DOMESTIC SH,BLACK,981020045534574,11/15/2021,Foster,Over the Counter,Adoption,Walk-In,11/23/2021,Monday,Tuesday
A062521,SPICE GIRL,Cat,Spayed Female,,0.9,DOMESTIC SH,BLACK,981020045534574,10/26/2021,Foster,Over the Counter,Foster,Adoption,10/30/2021,Tuesday,Saturday
A062530,,Cat,Male,,4,DOMESTIC SH,GRAY,,10/08/2021,Stray,Over the Counter,Euthanized,Injury Severe,10/08/2021,Friday,Friday
A062544,LOKI,Cat,Neutered Male,1,,DOMESTIC SH,BLACK,981020045555435,10/09/2021,Confiscated,Owner Hospitalized,Foster,Adoption,11/06/2021,Saturday,Saturday
A062544,LOKI,Cat,Neutered Male,1,,DOMESTIC SH,BLACK,981020045555435,03/29/2022,Foster,Over the Counter,Adoption,Walk-In,03/29/2022,Tuesday,Tuesday
A062546,CANE,Dog,Neutered Male,1,,ROTTWEILER,BLACK,981020045574658,10/10/2021,Stray,Over the Counter,Adoption,Website Information,10/27/2021,Sunday,Wednesday
A062547,NOVA,Dog,Spayed Female,1,,ROTTWEILER,BLACK,981020045536871,10/10/2021,Stray,Over the Counter,Foster,Adoption,10/21/2021,Sunday,Thursday
A062547,NOVA,Dog,Spayed Female,1,,ROTTWEILER,BLACK,981020045536871,11/13/2021,Foster,Over the Counter,Adoption,Walk-In,11/13/2021,Saturday,Saturday
A062548,PURPLE REIGN,Dog,Spayed Female,,7,ALASKAN HUSKY,BLACK,981020045150969,11/01/2021,Foster,Over the Counter,Adoption,Walk-In,11/03/2021,Monday,Wednesday
A062548,PURPLE REIGN,Dog,Spayed Female,,7,ALASKAN HUSKY,BLACK,981020045150969,10/10/2021,Owner Surrendered,OTC APPT,Foster,Adoption,10/13/2021,Sunday,Wednesday
A062549,EBONY,Other,Female,,6,RABBIT SH,BLACK,,10/10/2021,Owner Surrendered,OTC APPT,Transfer,Private Animal Shelter,10/21/2021,Sunday,Thursday
A062562,OLIVER,Livestock,Neutered Male,,4,PIG,BLACK,,10/11/2021,Stray,Animal Control,Foster,Adoption,10/17/2021,Monday,Sunday
A062562,OLIVER,Livestock,Neutered Male,,4,PIG,BLACK,,10/30/2021,Foster,Over the Counter,Adoption,Walk-In,10/30/2021,Saturday,Saturday
A062563,MILO,Dog,Male,,9,SCHNAUZER MIN,GRAY,981020045136646,10/11/2021,Stray,Animal Control,Return to Owner,Walk-In,10/13/2021,Monday,Wednesday
A062564,CRICKET,Cat,Neutered Male,,,DOMESTIC LH,WHITE,,10/11/2021,Owner Surrendered,Over the Counter,Foster,Underage or Underweight,10/11/2021,Monday,Monday
A062564,CRICKET,Cat,Neutered Male,,,DOMESTIC LH,WHITE,981020045340200,01/02/2022,Foster,Over the Counter,Adoption,Referral,01/02/2022,Sunday,Sunday
A062564,CRICKET,Cat,Neutered Male,,,DOMESTIC LH,WHITE,981020045340200,12/28/2021,Foster,Over the Counter,Foster,Adoption,12/28/2021,Tuesday,Tuesday
A062565,PIERRE,Cat,Neutered Male,,,DOMESTIC SH,BLACK,981020045325381,01/02/2022,Foster,Over the Counter,Adoption,Referral,01/02/2022,Sunday,Sunday
A062565,PIERRE,Cat,Neutered Male,,,DOMESTIC SH,BLACK,981020045325381,12/28/2021,Foster,Over the Counter,Foster,Adoption,12/28/2021,Tuesday,Tuesday
A062565,PIERRE,Cat,Neutered Male,,,DOMESTIC SH,BLACK,,10/11/2021,Owner Surrendered,Over the Counter,Foster,Underage or Underweight,10/11/2021,Monday,Monday
A062572,LOLA,Dog,Spayed Female,,8,GERM SHEPHERD,SABLE,981020045224715,10/12/2021,Stray,Animal Control,Foster,Adoption,10/23/2021,Tuesday,Saturday
A062572,LOLA,Dog,Spayed Female,,8,GERM SHEPHERD,SABLE,981020045224715,01/05/2022,Foster,Animal Control,Adoption,Walk-In,01/05/2022,Wednesday,Wednesday
A062583,BONES,Cat,Male,,0.8,DOMESTIC SH,GRAY TABBY,,11/03/2021,Foster,Over the Counter,Euthanized,Illness Severe,11/03/2021,Wednesday,Wednesday
A062583,BONES,Cat,Male,,0.8,DOMESTIC SH,GRAY TABBY,,10/13/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/20/2021,Wednesday,Wednesday
A062584,CHROME,Cat,Neutered Male,,0.8,DOMESTIC SH,GRAY,981020045541955,10/13/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/13/2021,Wednesday,Wednesday
A062584,CHROME,Cat,Neutered Male,,0.8,DOMESTIC SH,GRAY,981020045541955,11/30/2021,Foster,Over the Counter,Foster,Adoption,12/03/2021,Tuesday,Friday
A062584,CHROME,Cat,Neutered Male,,0.8,DOMESTIC SH,GRAY,981020045541955,02/15/2022,Foster,Over the Counter,Adoption,Walk-In,02/15/2022,Tuesday,Tuesday
A062585,ROXY,Dog,Female,12,,BOXER,BROWN,,10/13/2021,Owner Surrendered,Over the Counter,Euthanized,Injury Severe,10/13/2021,Wednesday,Wednesday
A062586,ARLO,Cat,Neutered Male,,2,DOMESTIC SH,BLACK,,10/13/2021,Stray,Over the Counter,Foster,FINDER,10/13/2021,Wednesday,Wednesday
A062586,ARLO,Cat,Neutered Male,,2,DOMESTIC SH,BLACK,981020045535349,11/16/2021,Foster,Over the Counter,Adoption,Walk-In,11/16/2021,Tuesday,Tuesday
A062598,BATOU,Dog,Neutered Male,4,,CHIHUAHUA SH,CREAM,911002001591382,10/15/2021,Stray,Animal Control,Return to Owner,Outside of Shelter,10/15/2021,Friday,Friday
A062599,SHORTY,Cat,Spayed Female,1,,DOMESTIC SH,BLACK,981020045518009,10/16/2021,Owner Surrendered,Over the Counter,Adoption,Walk-In,11/28/2021,Saturday,Sunday
A062609,CHLOE,Cat,Spayed Female,,2,DOMESTIC SH,BRN TABBY,,10/17/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/21/2021,Sunday,Thursday
A062609,CHLOE,Cat,Spayed Female,,2,DOMESTIC SH,BRN TABBY,981020045226568,11/10/2021,Foster,Over the Counter,Foster,Adoption,11/13/2021,Wednesday,Saturday
A062609,CHLOE,Cat,Spayed Female,,2,DOMESTIC SH,BRN TABBY,981020045226568,02/05/2022,Foster,Over the Counter,Adoption,Walk-In,02/05/2022,Saturday,Saturday
A062614,SALEM,Cat,Neutered Male,,2,DOMESTIC SH,BLACK,981020045334507,01/25/2022,Foster,Over the Counter,Adoption,Walk-In,01/25/2022,Tuesday,Tuesday
A062614,SALEM,Cat,Neutered Male,,2,DOMESTIC SH,BLACK,981020045334507,12/26/2021,Foster,Over the Counter,Foster,Adoption,01/08/2022,Sunday,Saturday
A062614,SALEM,Cat,Neutered Male,,2,DOMESTIC SH,BLACK,,11/19/2021,Foster,Over the Counter,Foster,Behavior Manageable,11/19/2021,Friday,Friday
A062614,SALEM,Cat,Neutered Male,,2,DOMESTIC SH,BLACK,,10/17/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/21/2021,Sunday,Thursday
A062615,SADE,Dog,Spayed Female,3,6,PIT BULL,WHITE,60809,10/17/2021,Stray,Over the Counter,Return to Owner,Walk-In,10/24/2021,Sunday,Sunday
A062615,SADE,Dog,Spayed Female,3,6,PIT BULL,WHITE,981020045583442,11/26/2021,Stray,Animal Control,Adoption,Walk-In,12/22/2021,Friday,Wednesday
A062616,YOGI,Cat,Neutered Male,,1.15,DOMESTIC MH,BLACK,U21-000343,11/23/2021,Foster,Over the Counter,Foster,Adoption,11/23/2021,Tuesday,Tuesday
A062616,YOGI,Cat,Neutered Male,,1.15,DOMESTIC MH,BLACK,981020045590207,01/11/2022,Foster,Over the Counter,Adoption,Walk-In,01/11/2022,Tuesday,Tuesday
A062616,YOGI,Cat,Neutered Male,,1.15,DOMESTIC MH,BLACK,,10/17/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/18/2021,Sunday,Monday
A062617,COOPER,Dog,Neutered Male,2,,COCKER SPAN,RED,991001003721904,10/17/2021,Confiscated,Owner Hospitalized,Foster,Adoption,10/30/2021,Sunday,Saturday
A062617,COOPER,Dog,Neutered Male,2,,COCKER SPAN,RED,991001003721904,11/02/2021,Foster,Over the Counter,Adoption,Referral,11/02/2021,Tuesday,Tuesday
A062620,ABBY THE TABBY,Cat,Spayed Female,,1.35,DOMESTIC SH,BLK TABBY,981020045567929,11/30/2021,Foster,Over the Counter,Foster,Adoption,12/04/2021,Tuesday,Saturday
A062620,ABBY THE TABBY,Cat,Spayed Female,,1.35,DOMESTIC SH,BLK TABBY,981020045567929,03/29/2022,Foster,Over the Counter,Adoption,Walk-In,03/29/2022,Tuesday,Tuesday
A062620,ABBY THE TABBY,Cat,Spayed Female,,1.35,DOMESTIC SH,BLK TABBY,981020045567929,07/02/2022,Owner Surrendered,Over the Counter,Adoption,Walk-In,07/12/2022,Saturday,Tuesday
A062620,ABBY THE TABBY,Cat,Spayed Female,,1.35,DOMESTIC SH,BLK TABBY,,10/18/2021,Owner Surrendered,Over the Counter,Foster,Underage or Underweight,10/22/2021,Monday,Friday
A062621,ADALINA,Cat,Spayed Female,,1.35,DOMESTIC SH,BLACK,,10/18/2021,Owner Surrendered,Over the Counter,Foster,Underage or Underweight,10/22/2021,Monday,Friday
A062621,ADALINA,Cat,Spayed Female,,1.35,DOMESTIC SH,BLACK,981020045563999,01/11/2022,Foster,Over the Counter,Adoption,Walk-In,01/11/2022,Tuesday,Tuesday
A062621,ADALINA,Cat,Spayed Female,,1.35,DOMESTIC SH,BLACK,981020045563999,11/30/2021,Foster,Over the Counter,Foster,Adoption,12/04/2021,Tuesday,Saturday
A062630,PUMPKIN,Cat,Spayed Female,,0.8,DOMESTIC SH,CALICO,981020045547850,11/03/2021,Foster,Over the Counter,Foster,Adoption,11/03/2021,Wednesday,Wednesday
A062630,PUMPKIN,Cat,Spayed Female,,0.8,DOMESTIC SH,CALICO,981020045547850,04/19/2022,Foster,Over the Counter,Adoption,Walk-In,04/19/2022,Tuesday,Tuesday
A062630,PUMPKIN,Cat,Spayed Female,,0.8,DOMESTIC SH,CALICO,,10/19/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/21/2021,Tuesday,Thursday
A062631,OAKLEY,Cat,Neutered Male,,0.8,DOMESTIC SH,BRN TABBY,,10/19/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/21/2021,Tuesday,Thursday
A062631,OAKLEY,Cat,Neutered Male,,0.8,DOMESTIC SH,BRN TABBY,981020045556930,11/03/2021,Foster,Over the Counter,Foster,Adoption,11/07/2021,Wednesday,Sunday
A062631,OAKLEY,Cat,Neutered Male,,0.8,DOMESTIC SH,BRN TABBY,981020045556930,12/14/2021,Foster,Over the Counter,Adoption,Walk-In,12/14/2021,Tuesday,Tuesday
A062632,MAPLE,Cat,Neutered Male,,0.8,DOMESTIC LH,BRN TABBY,981020045589446,12/07/2021,Foster,Over the Counter,Foster,Adoption,12/10/2021,Tuesday,Friday
A062632,MAPLE,Cat,Neutered Male,,0.8,DOMESTIC LH,BRN TABBY,981020045589446,11/03/2021,Foster,Over the Counter,Foster,Adoption,11/07/2021,Wednesday,Sunday
A062632,MAPLE,Cat,Neutered Male,,0.8,DOMESTIC LH,BRN TABBY,981020045589446,02/10/2022,Foster,Over the Counter,Adoption,Website Information,02/10/2022,Thursday,Thursday
A062632,MAPLE,Cat,Neutered Male,,0.8,DOMESTIC LH,BRN TABBY,,10/19/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/21/2021,Tuesday,Thursday
A062633,PO,Cat,Neutered Male,1,2,DOMESTIC SH,BRN TABBY,981020045570703,10/19/2021,Owner Surrendered,Over the Counter,Adoption,Walk-In,11/06/2021,Tuesday,Saturday
A062638,YETI,Dog,Male,1,,PIT BULL,WHITE,981020045536273,10/19/2021,Stray,Animal Control,Foster,Adoption,10/31/2021,Tuesday,Sunday
A062638,YETI,Dog,Male,1,,PIT BULL,WHITE,981020045536273,11/01/2021,Foster,Over the Counter,Foster,Adoption,11/07/2021,Monday,Sunday
A062638,YETI,Dog,Male,1,,PIT BULL,WHITE,981020045536273,11/09/2021,Foster,Over the Counter,Foster,Adoption,12/05/2021,Tuesday,Sunday
A062638,YETI,Dog,Male,1,,PIT BULL,WHITE,981020045536273,02/05/2022,Foster,Over the Counter,Unassisted Death,While In Foster,02/05/2022,Saturday,Saturday
A062639,JACKALOPE,Dog,Neutered Male,2,,AMER BULLY,WHITE,981020045566612,12/22/2021,Foster,Over the Counter,Adoption,Walk-In,01/31/2022,Wednesday,Monday
A062639,JACKALOPE,Dog,Neutered Male,2,,AMER BULLY,WHITE,981020045566612,05/04/2022,Transfer,Transfer,Adoption,Walk-In,07/18/2022,Wednesday,Monday
A062639,JACKALOPE,Dog,Neutered Male,2,,AMER BULLY,WHITE,981020045566612,10/20/2021,Stray,Animal Control,Foster,M/L DOG,12/19/2021,Wednesday,Sunday
A062639,JACKALOPE,Dog,Neutered Male,2,,AMER BULLY,WHITE,981020045566612,02/01/2022,Return,Over the Counter,Adoption,Walk-In,04/08/2022,Tuesday,Friday
A062642,APOLLO,Cat,Spayed Female,8,,DOMESTIC SH,BLACK,982000362123787,10/20/2021,Owner Surrendered,OTC APPT,Adoption,Walk-In,01/09/2022,Wednesday,Sunday
A062643,MISTLETOE,Cat,Neutered Male,,1.5,DOMESTIC SH,GRAY TABBY,,10/20/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/20/2021,Wednesday,Wednesday
A062643,MISTLETOE,Cat,Neutered Male,,1.5,DOMESTIC SH,GRAY TABBY,981020045552546,02/03/2022,Foster,Over the Counter,Adoption,Walk-In,02/03/2022,Thursday,Thursday
A062643,MISTLETOE,Cat,Neutered Male,,1.5,DOMESTIC SH,GRAY TABBY,981020045552546,11/09/2021,Foster,Over the Counter,Foster,EVENT,11/13/2021,Tuesday,Saturday
A062643,MISTLETOE,Cat,Neutered Male,,1.5,DOMESTIC SH,GRAY TABBY,981020045552546,11/19/2021,Foster,Over the Counter,Foster,Adoption,11/20/2021,Friday,Saturday
A062648,ABBY,Dog,Female,4,,TR WALKER HOUND,WHITE,981020015719103,12/02/2021,Stray,Animal Control,Return to Owner,Outside of Shelter,12/02/2021,Thursday,Thursday
A062648,ABBY,Dog,Female,4,,TR WALKER HOUND,WHITE,981020015719103,05/05/2022,Stray,Animal Control,Return to Owner,Walk-In,05/05/2022,Thursday,Thursday
A062648,ABBY,Dog,Female,4,,TR WALKER HOUND,WHITE,981020015719103,05/06/2022,Stray,Animal Control,Return to Owner,Walk-In,05/06/2022,Friday,Friday
A062648,ABBY,Dog,Female,4,,TR WALKER HOUND,WHITE,981020015719103,11/12/2022,Stray,Animal Control,Return to Owner,Outside of Shelter,11/12/2022,Saturday,Saturday
A062648,ABBY,Dog,Female,4,,TR WALKER HOUND,WHITE,981020015719103,10/21/2021,Stray,Animal Control,Return to Owner,Walk-In,10/22/2021,Thursday,Friday
A062653,PANSY,Cat,Spayed Female,,,DOMESTIC SH,BLACK,,10/23/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/23/2021,Saturday,Saturday
A062653,PANSY,Cat,Spayed Female,,,DOMESTIC SH,BLACK,981020045330053,03/01/2022,Foster,Over the Counter,Adoption,Walk-In,03/01/2022,Tuesday,Tuesday
A062653,PANSY,Cat,Spayed Female,,,DOMESTIC SH,BLACK,981020045330053,12/24/2021,Foster,Over the Counter,Foster,Adoption,12/24/2021,Friday,Friday
A062654,MISO,Cat,Neutered Male,,4,DOMESTIC SH,BRN TABBY,981020045563241,04/09/2022,Foster,Over the Counter,Adoption,Website Information,04/09/2022,Saturday,Saturday
A062654,MISO,Cat,Neutered Male,,4,DOMESTIC SH,BRN TABBY,981020045563241,10/23/2021,Owner Surrendered,Over the Counter,Foster,Adoption,10/28/2021,Saturday,Thursday
A062657,BODI JAMES,Dog,Neutered Male,4,,BASSET HOUND,TRICOLOR,985112011869289,10/23/2021,Stray,Animal Control,Return to Owner,Outside of Shelter,10/23/2021,Saturday,Saturday
A062659,OWEN,Cat,Neutered Male,,0.65,DOMESTIC SH,BUFF,981020045560979,10/23/2021,Stray,Animal Control,Foster,Underage or Underweight,10/24/2021,Saturday,Sunday
A062659,OWEN,Cat,Neutered Male,,0.65,DOMESTIC SH,BUFF,981020045560979,11/30/2021,Foster,Over the Counter,Foster,Adoption,11/30/2021,Tuesday,Tuesday
A062659,OWEN,Cat,Neutered Male,,0.65,DOMESTIC SH,BUFF,981020045560979,03/15/2022,Foster,Over the Counter,Adoption,Walk-In,03/15/2022,Tuesday,Tuesday
A062672,DEKU,Cat,Neutered Male,,1.85,DOMESTIC SH,BRN TABBY,981020045549556,11/14/2021,Foster,Over the Counter,Foster,Adoption,11/14/2021,Sunday,Sunday
A062672,DEKU,Cat,Neutered Male,,1.85,DOMESTIC SH,BRN TABBY,981020045549556,12/17/2021,Foster,Over the Counter,Adoption,Referral,12/17/2021,Friday,Friday
A062672,DEKU,Cat,Neutered Male,,1.85,DOMESTIC SH,BRN TABBY,,10/24/2021,Stray,Over the Counter,Foster,Behavior Manageable,10/27/2021,Sunday,Wednesday
A062679,RIZZO,Dog,Neutered Male,,8,PIT BULL,BR BRINDLE,981020045553627,10/25/2021,Stray,Over the Counter,Foster,Adoption,11/02/2021,Monday,Tuesday
A062679,RIZZO,Dog,Neutered Male,,8,PIT BULL,BR BRINDLE,981020045553627,11/16/2021,Foster,Over the Counter,Adoption,Walk-In,11/16/2021,Tuesday,Tuesday
A062694,,Cat,Neutered Male,10,,DOMESTIC SH,BRN TABBY,,11/06/2021,Foster,Over the Counter,Transfer,Private Animal Shelter,11/06/2021,Saturday,Saturday
A062694,,Cat,Neutered Male,10,,DOMESTIC SH,BRN TABBY,,10/26/2021,Stray,Animal Control,Foster,FINDER,10/26/2021,Tuesday,Tuesday
A062695,BOCA,Dog,Female,4,,PIT BULL,BROWN,985113003243771,10/26/2021,Stray,Animal Control,Return to Owner,Walk-In,10/26/2021,Tuesday,Tuesday
A062702,BEAN,Cat,Spayed Female,,1.35,DOMESTIC SH,TORBIE,,10/26/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/30/2021,Tuesday,Saturday
A062702,BEAN,Cat,Spayed Female,,1.35,DOMESTIC SH,TORBIE,981020045513045,12/04/2021,Foster,Over the Counter,Foster,Adoption,12/04/2021,Saturday,Saturday
A062703,CJ,Cat,Neutered Male,,1.35,DOMESTIC SH,ORG TABBY,981020045528054,12/04/2021,Foster,Over the Counter,Foster,Adoption,12/08/2021,Saturday,Wednesday
A062703,CJ,Cat,Neutered Male,,1.35,DOMESTIC SH,ORG TABBY,981020045528054,01/06/2022,Foster,Over the Counter,Adoption,Walk-In,01/06/2022,Thursday,Thursday
A062703,CJ,Cat,Neutered Male,,1.35,DOMESTIC SH,ORG TABBY,,10/26/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/30/2021,Tuesday,Saturday
A062705,,Cat,Neutered Male,4,,DOMESTIC SH,BRN TABBY,,10/26/2021,Stray,Animal Control,Euthanized,Vet Clinic,10/26/2021,Tuesday,Tuesday
A062715,TOGO,Dog,Neutered Male,1,,GERM SHEPHERD,BLACK,900164001689530,10/27/2021,Stray,Animal Control,Foster,Adoption,11/10/2021,Wednesday,Wednesday
A062715,TOGO,Dog,Neutered Male,1,,GERM SHEPHERD,BLACK,900164001689530,11/24/2021,Foster,Over the Counter,Adoption,Walk-In,11/24/2021,Wednesday,Wednesday
A062716,CHUCKY,Dog,Male,8,,LABRADOR RETR,CHOCOLATE,981020045578848,10/27/2021,Stray,Over the Counter,Transfer,Private Animal Shelter,11/09/2021,Wednesday,Tuesday
A062717,OSCAR,Cat,Neutered Male,,1.15,DOMESTIC SH,BRN TABBY,,10/27/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/30/2021,Wednesday,Saturday
A062717,OSCAR,Cat,Neutered Male,,1.15,DOMESTIC SH,BRN TABBY,981020045204559,12/04/2021,Foster,Over the Counter,Foster,Adoption,12/07/2021,Saturday,Tuesday
A062717,OSCAR,Cat,Neutered Male,,1.15,DOMESTIC SH,BRN TABBY,981020045204559,06/21/2022,Foster,Over the Counter,Adoption,Website Information,06/21/2022,Tuesday,Tuesday
A062718,REBOUND,Dog,Neutered Male,4,,AMER BULLY,BROWN,985113004830483,10/27/2021,Stray,Over the Counter,Adoption,Walk-In,11/13/2021,Wednesday,Saturday
A062719,,Dog,Female,7,,PIT BULL,GRAY,,10/27/2021,Stray,Animal Control,Euthanized,Vet Clinic,10/27/2021,Wednesday,Wednesday
A062720,,Dog,Female,2,,FRENCH BULLDOG,BLUE MERLE,60823,10/28/2021,Confiscated,Animal Cruelty,Return to Owner,Walk-In,10/28/2021,Thursday,Thursday
A062721,,Dog,Male,1,,FRENCH BULLDOG,CREAM,60824,10/28/2021,Confiscated,Animal Cruelty,Return to Owner,Walk-In,10/28/2021,Thursday,Thursday
A062742,TITAN,Cat,Neutered Male,1,,DOMESTIC SH,GRAY TABBY,981020045315904,10/28/2021,Stray,Animal Control,Adoption,Walk-In,02/19/2022,Thursday,Saturday
A062743,TRENT,Cat,Neutered Male,1,,DOMESTIC MH,GRAY TABBY,981020045334399,10/28/2021,Stray,Animal Control,Adoption,Walk-In,02/19/2022,Thursday,Saturday
A062744,DAZEY,Cat,Spayed Female,,1.2,DOMESTIC SH,BLACK,,10/28/2021,Stray,Animal Control,Foster,Underage or Underweight,11/04/2021,Thursday,Thursday
A062744,DAZEY,Cat,Spayed Female,,1.2,DOMESTIC SH,BLACK,981020045321696,01/18/2022,Foster,Over the Counter,Adoption,Walk-In,01/18/2022,Tuesday,Tuesday
A062744,DAZEY,Cat,Spayed Female,,1.2,DOMESTIC SH,BLACK,981020045321696,12/29/2021,Foster,Over the Counter,Foster,Adoption,01/08/2022,Wednesday,Saturday
A062745,,Cat,Male,,1.2,DOMESTIC LH,BLACK,,12/25/2021,Foster,Over the Counter,Unassisted Death,While In Foster,12/25/2021,Saturday,Saturday
A062745,,Cat,Male,,1.2,DOMESTIC LH,BLACK,,10/28/2021,Stray,Animal Control,Foster,Underage or Underweight,11/04/2021,Thursday,Thursday
A062750,,Cat,Neutered Male,,3,DOMESTIC SH,BLK TABBY,985113005869038,10/29/2021,Stray,Animal Control,Adoption,Walk-In,11/07/2021,Friday,Sunday
A062751,,Dog,Male,12,,POMERANIAN,CREAM,,10/27/2021,Stray,Animal Control,Euthanized,Vet Clinic,10/30/2021,Wednesday,Saturday
A062752,COSMO,Cat,Neutered Male,,1.5,DOMESTIC SH,BLACK,981020045589173,01/12/2022,Foster,Over the Counter,Adoption,Walk-In,01/12/2022,Wednesday,Wednesday
A062752,COSMO,Cat,Neutered Male,,1.5,DOMESTIC SH,BLACK,981020045589173,11/24/2021,Foster,Over the Counter,Foster,Adoption,11/28/2021,Wednesday,Sunday
A062752,COSMO,Cat,Neutered Male,,1.5,DOMESTIC SH,BLACK,,10/30/2021,Stray,Over the Counter,Foster,Underage or Underweight,10/31/2021,Saturday,Sunday
A062763,BROOKS,Cat,Neutered Male,4,,DOMESTIC MH,ORG TABBY,981020045217409,11/01/2021,Stray,Over the Counter,Adoption,Walk-In,12/01/2021,Monday,Wednesday
A062764,MALCOM,Dog,Neutered Male,,4,BEAGLE,TRICOLOR,982091067726138,11/01/2021,Owner Surrendered,Over the Counter,Adoption,Walk-In,11/06/2021,Monday,Saturday
A062769,BANDIT,Cat,Neutered Male,13,,DOMESTIC SH,ORG TABBY,981020045556151,11/02/2021,Stray,Animal Control,Return to Owner,Walk-In,11/05/2021,Tuesday,Friday
A062779,ATHENA,Dog,Spayed Female,,,GERM SHEPHERD,SABLE,981020031858992,11/04/2021,Confiscated,Owner Hospitalized,Foster,Adoption,11/30/2021,Thursday,Tuesday
A062779,ATHENA,Dog,Spayed Female,,,GERM SHEPHERD,SABLE,981020031858992,12/29/2021,Foster,Over the Counter,Adoption,Walk-In,12/29/2021,Wednesday,Wednesday
A062779,ATHENA,Dog,Spayed Female,,,GERM SHEPHERD,SABLE,981020031858992,04/03/2022,Owner Surrendered,OTC APPT,Adoption,Walk-In,04/16/2022,Sunday,Saturday
A062779,ATHENA,Dog,Spayed Female,,,GERM SHEPHERD,SABLE,981020031858992,05/04/2022,Owner Surrendered,OTC APPT,Euthanized,Behavior Severe,05/05/2022,Wednesday,Thursday
A062782,TAILS,Cat,Neutered Male,,0.9,DOMESTIC SH,BRN TABBY,981020045327608,01/13/2022,Foster,Over the Counter,Adoption,Walk-In,01/13/2022,Thursday,Thursday
A062782,TAILS,Cat,Neutered Male,,0.9,DOMESTIC SH,BRN TABBY,,11/04/2021,Confiscated,Owner Hospitalized,Foster,Underage or Underweight,11/05/2021,Thursday,Friday
A062782,TAILS,Cat,Neutered Male,,0.9,DOMESTIC SH,BRN TABBY,981020045327608,01/04/2022,Foster,Over the Counter,Foster,Adoption,01/05/2022,Tuesday,Wednesday
A062783,STRIPERS,Cat,Spayed Female,,0.9,DOMESTIC SH,BRN TABBY,981020045351191,11/04/2021,Confiscated,Owner Hospitalized,Foster,Underage or Underweight,11/05/2021,Thursday,Friday
A062783,STRIPERS,Cat,Spayed Female,,0.9,DOMESTIC SH,BRN TABBY,981020045351191,03/29/2022,Foster,Over the Counter,Adoption,Referral,03/29/2022,Tuesday,Tuesday
A062784,BEAR,Cat,Neutered Male,,0.9,DOMESTIC SH,BLACK,,11/04/2021,Confiscated,Owner Hospitalized,Foster,Underage or Underweight,11/05/2021,Thursday,Friday
A062784,BEAR,Cat,Neutered Male,,0.9,DOMESTIC SH,BLACK,981020045344212,01/27/2022,Foster,Over the Counter,Adoption,Walk-In,01/27/2022,Thursday,Thursday
